title,content,summary,tags,cover_url,image_urls,video_url,type,channel,target_url
智能降噪蓝牙耳机,智能降噪蓝牙耳机主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,智能降噪蓝牙耳机，适合日常使用的测试广告。,"耳机,降噪,学生",materials/images/ad_001_cover.png,materials/images/ad_001_cover.png,,IMAGE_LARGE,featured,https://example.com/ads/ad-001
精品咖啡周末体验课,精品咖啡周末体验课主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,精品咖啡周末体验课，适合日常使用的测试广告。,"咖啡,课程,周末",materials/images/ad_003_cover.png,materials/images/ad_003_cover.png,,MIXED,local,https://example.com/ads/ad-003
附近外卖满减套餐,附近外卖满减套餐主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,附近外卖满减套餐，适合日常使用的测试广告。,"外卖,本地,优惠",materials/images/ad_004_cover.png,materials/images/ad_004_cover.png,,IMAGE_LARGE,local,https://example.com/ads/ad-004
高效学习在线课程,高效学习在线课程主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,高效学习在线课程，适合日常使用的测试广告。,"课程,学习,学生",materials/images/ad_005_cover.png,materials/images/ad_005_cover.png,,IMAGE_SMALL,featured,https://example.com/ads/ad-005
周边短途旅行计划,周边短途旅行计划主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,周边短途旅行计划，适合日常使用的测试广告。,"旅行,周末,城市",materials/images/ad_006_cover.png,materials/images/ad_006_cover.png,,MIXED,featured,https://example.com/ads/ad-006
家用空气清洁设备,家用空气清洁设备主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,家用空气清洁设备，适合日常使用的测试广告。,"家居,健康,空气",materials/images/ad_007_cover.png,materials/images/ad_007_cover.png,,IMAGE_LARGE,ecommerce,https://example.com/ads/ad-007
社区摄影入门课程,社区摄影入门课程主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,社区摄影入门课程，适合日常使用的测试广告。,"课程,摄影,本地",materials/images/ad_009_cover.png,materials/images/ad_009_cover.png,,MIXED,local,https://example.com/ads/ad-009
便携办公收纳套装,便携办公收纳套装主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,便携办公收纳套装，适合日常使用的测试广告。,"办公,收纳,效率",materials/images/ad_010_cover.png,materials/images/ad_010_cover.png,,IMAGE_LARGE,featured,https://example.com/ads/ad-010
智能降噪蓝牙耳机,智能降噪蓝牙耳机主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,智能降噪蓝牙耳机，适合日常使用的测试广告。,"耳机,降噪,学生",materials/images/ad_011_cover.png,materials/images/ad_011_cover.png,,IMAGE_LARGE,featured,https://example.com/ads/ad-011
轻薄长续航手机,轻薄长续航手机主打日常实用体验，适合学习、通勤、办公或周末休闲场景，提供清晰明确的功能亮点和友好的入门价格。,轻薄长续航手机，适合日常使用的测试广告。,"手机,数码,长续航",materials/images/ad_012_cover.png,materials/images/ad_012_cover.png,,IMAGE_SMALL,ecommerce,https://example.com/ads/ad-012
